"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Africa +","11","Stocks","2007","Head","284655115.00000","A "
"Africa +","11","Stocks","2006","Head","276701679.00000","A "
"Africa +","11","Stocks","2005","Head","273511413.00000","A "
"Africa +","11","Stocks","2004","Head","266298423.00000","A "
"Africa +","11","Stocks","2003","Head","256297889.00000","A "
"Africa +","11","Stocks","2002","Head","249971524.00000","A "
"Africa +","11","Stocks","2001","Head","243590407.00000","A "
"Africa +","11","Stocks","2000","Head","234130361.00000","A "
"Africa +","11","Stocks","1999","Head","227715733.00000","A "
"Africa +","11","Stocks","1998","Head","221988768.00000","A "
"Africa +","11","Stocks","1997","Head","215892066.00000","A "
"Africa +","11","Stocks","1996","Head","207303107.00000","A "
"Africa +","11","Stocks","1995","Head","200572304.00000","A "
"Africa +","11","Stocks","1994","Head","193090260.00000","A "
"Africa +","11","Stocks","1993","Head","181301667.00000","A "
"Africa +","11","Stocks","1992","Head","182022559.00000","A "
"Africa +","11","Stocks","1991","Head","179406572.00000","A "
"Africa +","11","Stocks","1990","Head","176995394.00000","A "
"Africa +","11","Stocks","1989","Head","174981114.00000","A "
"Africa +","11","Stocks","1988","Head","168458689.00000","A "
"Africa +","11","Stocks","1987","Head","160991640.00000","A "
"Africa +","11","Stocks","1986","Head","155119633.00000","A "
"Africa +","11","Stocks","1985","Head","149193760.00000","A "
"Africa +","11","Stocks","1984","Head","144783869.00000","A "
"Africa +","11","Stocks","1983","Head","148998692.00000","A "
"Africa +","11","Stocks","1982","Head","145242914.00000","A "
"Africa +","11","Stocks","1981","Head","142184796.00000","A "
"Africa +","11","Stocks","1980","Head","141108352.00000","A "
"Africa +","11","Stocks","1979","Head","137641604.00000","A "
"Africa +","11","Stocks","1978","Head","135448239.00000","A "
"Africa +","11","Stocks","1977","Head","127919403.00000","A "
"Africa +","11","Stocks","1976","Head","122842188.00000","A "
"Africa +","11","Stocks","1975","Head","120004058.00000","A "
"Africa +","11","Stocks","1974","Head","115459265.00000","A "
"Africa +","11","Stocks","1973","Head","113876463.00000","A "
"Africa +","11","Stocks","1972","Head","117104124.00000","A "
"Africa +","11","Stocks","1971","Head","116125720.00000","A "
"Africa +","11","Stocks","1970","Head","115410745.00000","A "
"Africa +","11","Stocks","1969","Head","113333980.00000","A "
"Africa +","11","Stocks","1968","Head","111341781.00000","A "
"Africa +","11","Stocks","1967","Head","108262938.00000","A "
"Africa +","11","Stocks","1966","Head","103917248.00000","A "
"Africa +","11","Stocks","1965","Head","101041023.00000","A "
"Africa +","11","Stocks","1964","Head","98441141.00000","A "
"Africa +","11","Stocks","1963","Head","96875347.00000","A "
"Africa +","11","Stocks","1962","Head","94491955.00000","A "
"Africa +","11","Stocks","1961","Head","94254653.00000","A "
"Asia +","11","Stocks","2007","Head","489723912.00000","A "
"Asia +","11","Stocks","2006","Head","490246466.00000","A "
"Asia +","11","Stocks","2005","Head","490411135.00000","A "
"Asia +","11","Stocks","2004","Head","478932734.00000","A "
"Asia +","11","Stocks","2003","Head","468750992.00000","A "
"Asia +","11","Stocks","2002","Head","459947101.00000","A "
"Asia +","11","Stocks","2001","Head","456482015.00000","A "
"Asia +","11","Stocks","2000","Head","456376853.00000","A "
"Asia +","11","Stocks","1999","Head","447335989.00000","A "
"Asia +","11","Stocks","1998","Head","438119926.00000","A "
"Asia +","11","Stocks","1997","Head","424688031.00000","A "
"Asia +","11","Stocks","1996","Head","441832620.00000","A "
"Asia +","11","Stocks","1995","Head","412865404.00000","A "
"Asia +","11","Stocks","1994","Head","388239790.00000","A "
"Asia +","11","Stocks","1993","Head","372006451.00000","A "
"Asia +","11","Stocks","1992","Head","362791810.00000","A "
"Asia +","11","Stocks","1991","Head","354895404.00000","A "
"Asia +","11","Stocks","1990","Head","352131883.00000","A "
"Asia +","11","Stocks","1989","Head","338129705.00000","A "
"Asia +","11","Stocks","1988","Head","318235366.00000","A "
"Asia +","11","Stocks","1987","Head","303580242.00000","A "
"Asia +","11","Stocks","1986","Head","287999788.00000","A "
"Asia +","11","Stocks","1985","Head","282368132.00000","A "
"Asia +","11","Stocks","1984","Head","286616169.00000","A "
"Asia +","11","Stocks","1983","Head","290475054.00000","A "
"Asia +","11","Stocks","1982","Head","284600608.00000","A "
"Asia +","11","Stocks","1981","Head","280462739.00000","A "
"Asia +","11","Stocks","1980","Head","274168197.00000","A "
"Asia +","11","Stocks","1979","Head","268237683.00000","A "
"Asia +","11","Stocks","1978","Head","255042944.00000","A "
"Asia +","11","Stocks","1977","Head","245828537.00000","A "
"Asia +","11","Stocks","1976","Head","244002086.00000","A "
"Asia +","11","Stocks","1975","Head","236126051.00000","A "
